group_name,mean_count,prop_infeasible
dM 5 aM 1 YM 15 ,3.0759999999999996,0.24
dM 5 aM 1 YM 20 ,2.9960000000000004,0.2
dM 5 aM 1 YM 25 ,3.088,0.2
dM 5 aM 2 YM 5 ,10.0,1.0
dM 5 aM 2 YM 10 ,6.16,0.84
dM 5 aM 2 YM 15 ,5.811999999999999,0.84
dM 5 aM 2 YM 20 ,5.944,0.84
dM 5 aM 2 YM 25 ,5.904000000000001,0.84
dM 5 aM 3 YM 5 ,10.0,1.0
dM 5 aM 3 YM 10 ,8.592,0.88
dM 5 aM 3 YM 15 ,8.54,0.92
dM 5 aM 3 YM 20 ,8.692,0.88
dM 5 aM 3 YM 25 ,8.78,0.88
dM 10 aM 1 YM 5 ,10.0,1.0
dM 10 aM 1 YM 10 ,2.2199999999999998,0.2
dM 10 aM 1 YM 15 ,2.2159999999999997,0.2
dM 10 aM 1 YM 20 ,2.192,0.2
dM 10 aM 1 YM 25 ,2.2,0.2
dM 10 aM 2 YM 5 ,10.0,1.0
dM 10 aM 2 YM 10 ,2.596,0.28
dM 10 aM 2 YM 15 ,2.3600000000000003,0.2
dM 10 aM 2 YM 20 ,2.552,0.28
dM 10 aM 2 YM 25 ,2.424,0.2
dM 10 aM 3 YM 5 ,10.0,1.0
dM 10 aM 3 YM 10 ,3.952,0.56
dM 10 aM 3 YM 15 ,3.952,0.52
dM 10 aM 3 YM 20 ,4.167999999999999,0.6
dM 10 aM 3 YM 25 ,4.0360000000000005,0.68
dM 15 aM 1 YM 5 ,10.0,1.0
dM 15 aM 1 YM 10 ,2.0320000000000005,0.2
dM 15 aM 1 YM 15 ,2.024,0.2
dM 15 aM 1 YM 20 ,2.0200000000000005,0.2
dM 15 aM 1 YM 25 ,2.016,0.2
dM 15 aM 2 YM 5 ,10.0,1.0
dM 15 aM 2 YM 10 ,2.116,0.2
dM 15 aM 2 YM 15 ,2.0439999999999996,0.2
dM 15 aM 2 YM 20 ,2.0200000000000005,0.2
dM 15 aM 2 YM 25 ,2.0280000000000005,0.2
dM 15 aM 3 YM 5 ,10.0,1.0
dM 15 aM 3 YM 10 ,2.4560000000000004,0.2
dM 15 aM 3 YM 15 ,2.224,0.2
dM 15 aM 3 YM 20 ,2.1279999999999997,0.2
dM 15 aM 3 YM 25 ,2.144,0.2
dM 20 aM 1 YM 5 ,10.0,1.0
dM 20 aM 1 YM 10 ,2.0,0.2
dM 20 aM 1 YM 15 ,2.0,0.2
dM 20 aM 1 YM 20 ,2.0,0.2
dM 20 aM 1 YM 25 ,2.0,0.2
dM 20 aM 2 YM 5 ,10.0,1.0
dM 20 aM 2 YM 10 ,2.16,0.2
dM 20 aM 2 YM 15 ,2.056,0.2
dM 20 aM 2 YM 20 ,2.02,0.2
dM 20 aM 2 YM 25 ,2.004,0.2
dM 20 aM 3 YM 5 ,10.0,1.0
dM 20 aM 3 YM 10 ,2.1759999999999997,0.2
dM 20 aM 3 YM 15 ,2.1000000000000005,0.2
dM 20 aM 3 YM 20 ,2.0920000000000005,0.2
dM 20 aM 3 YM 25 ,2.0879999999999996,0.2
dM 25 aM 1 YM 5 ,10.0,1.0
dM 25 aM 1 YM 10 ,2.0320000000000005,0.2
dM 25 aM 1 YM 15 ,2.016,0.2
dM 25 aM 1 YM 20 ,2.0,0.2
dM 25 aM 1 YM 25 ,2.0,0.2
dM 25 aM 2 YM 5 ,10.0,1.0
dM 25 aM 2 YM 10 ,2.06,0.2
dM 25 aM 2 YM 15 ,2.0320000000000005,0.2
dM 25 aM 2 YM 20 ,2.0,0.2
dM 25 aM 2 YM 25 ,2.0,0.2
dM 25 aM 3 YM 5 ,10.0,1.0
dM 25 aM 3 YM 10 ,2.1679999999999997,0.2
dM 25 aM 3 YM 15 ,2.036,0.2
dM 25 aM 3 YM 20 ,2.0,0.2
dM 25 aM 3 YM 25 ,2.0,0.2
dM 5 aM 1 serM 5 ,3.6,0.36
dM 5 aM 1 serM 10 ,4.556,0.36
dM 5 aM 1 serM 15 ,4.672000000000001,0.4
dM 5 aM 1 serM 20 ,4.768,0.36
dM 5 aM 1 serM 25 ,4.6080000000000005,0.4
dM 5 aM 2 serM 5 ,4.007999999999999,0.36
dM 5 aM 2 serM 10 ,7.376000000000001,1.0
dM 5 aM 2 serM 15 ,7.428,1.0
dM 5 aM 2 serM 20 ,7.3439999999999985,1.0
dM 5 aM 2 serM 25 ,7.664000000000001,1.0
dM 5 aM 3 serM 5 ,5.647999999999999,0.56
dM 5 aM 3 serM 10 ,9.68,1.0
dM 5 aM 3 serM 15 ,9.812,1.0
dM 5 aM 3 serM 20 ,9.744000000000002,1.0
dM 5 aM 3 serM 25 ,9.72,1.0
dM 10 aM 1 serM 5 ,3.6,0.36
dM 10 aM 1 serM 10 ,3.6,0.36
dM 10 aM 1 serM 15 ,3.6599999999999993,0.36
dM 10 aM 1 serM 20 ,3.9879999999999995,0.36
dM 10 aM 1 serM 25 ,3.9799999999999995,0.36
dM 10 aM 2 serM 5 ,3.6,0.36
dM 10 aM 2 serM 10 ,3.6,0.36
dM 10 aM 2 serM 15 ,3.844,0.36
dM 10 aM 2 serM 20 ,4.276,0.36
dM 10 aM 2 serM 25 ,4.612,0.52
dM 10 aM 3 serM 5 ,3.6,0.36
dM 10 aM 3 serM 10 ,3.8280000000000007,0.36
dM 10 aM 3 serM 15 ,5.5760000000000005,0.76
dM 10 aM 3 serM 20 ,6.636,0.92
dM 10 aM 3 serM 25 ,6.467999999999998,0.96
dM 15 aM 1 serM 5 ,3.6,0.36
dM 15 aM 1 serM 10 ,3.6,0.36
dM 15 aM 1 serM 15 ,3.6,0.36
dM 15 aM 1 serM 20 ,3.6120000000000005,0.36
dM 15 aM 1 serM 25 ,3.6799999999999993,0.36
dM 15 aM 2 serM 5 ,3.6,0.36
dM 15 aM 2 serM 10 ,3.6,0.36
dM 15 aM 2 serM 15 ,3.6,0.36
dM 15 aM 2 serM 20 ,3.636,0.36
dM 15 aM 2 serM 25 ,3.7720000000000002,0.36
dM 15 aM 3 serM 5 ,3.6,0.36
dM 15 aM 3 serM 10 ,3.6,0.36
dM 15 aM 3 serM 15 ,3.7439999999999993,0.36
dM 15 aM 3 serM 20 ,3.872,0.36
dM 15 aM 3 serM 25 ,4.136000000000001,0.36
dM 20 aM 1 serM 5 ,3.6,0.36
dM 20 aM 1 serM 10 ,3.6,0.36
dM 20 aM 1 serM 15 ,3.6,0.36
dM 20 aM 1 serM 20 ,3.6,0.36
dM 20 aM 1 serM 25 ,3.6,0.36
dM 20 aM 2 serM 5 ,3.6,0.36
dM 20 aM 2 serM 10 ,3.6,0.36
dM 20 aM 2 serM 15 ,3.6,0.36
dM 20 aM 2 serM 20 ,3.6919999999999997,0.36
dM 20 aM 2 serM 25 ,3.7479999999999993,0.36
dM 20 aM 3 serM 5 ,3.6,0.36
dM 20 aM 3 serM 10 ,3.6,0.36
dM 20 aM 3 serM 15 ,3.699999999999999,0.36
dM 20 aM 3 serM 20 ,3.76,0.36
dM 20 aM 3 serM 25 ,3.7960000000000003,0.36
dM 25 aM 1 serM 5 ,3.6,0.36
dM 25 aM 1 serM 10 ,3.6,0.36
dM 25 aM 1 serM 15 ,3.6,0.36
dM 25 aM 1 serM 20 ,3.616,0.36
dM 25 aM 1 serM 25 ,3.6320000000000006,0.36
dM 25 aM 2 serM 5 ,3.6,0.36
dM 25 aM 2 serM 10 ,3.6,0.36
dM 25 aM 2 serM 15 ,3.6,0.36
dM 25 aM 2 serM 20 ,3.636,0.36
dM 25 aM 2 serM 25 ,3.656,0.36
dM 25 aM 3 serM 5 ,3.6,0.36
dM 25 aM 3 serM 10 ,3.6,0.36
dM 25 aM 3 serM 15 ,3.6,0.36
dM 25 aM 3 serM 20 ,3.7,0.36
dM 25 aM 3 serM 25 ,3.7039999999999997,0.36
dM 5 XM 3 YM 5 ,10.0,1.0
dM 5 XM 6 YM 5 ,10.0,1.0
dM 5 XM 9 YM 5 ,10.0,1.0
dM 5 XM 12 YM 5 ,10.0,1.0
dM 5 XM 15 YM 5 ,10.0,1.0
dM 5 XM 3 YM 10 ,10.0,1.0
dM 5 XM 6 YM 10 ,4.973333333333333,0.5333333333333333
dM 5 XM 9 YM 10 ,4.806666666666667,0.5333333333333333
dM 5 XM 12 YM 10 ,4.900000000000001,0.6666666666666666
dM 5 XM 15 YM 10 ,4.98,0.5333333333333333
dM 5 XM 3 YM 15 ,10.0,1.0
dM 5 XM 6 YM 15 ,5.046666666666667,0.6
dM 5 XM 9 YM 15 ,4.433333333333334,0.5333333333333333
dM 5 XM 12 YM 15 ,5.026666666666667,0.6
dM 5 XM 15 YM 15 ,4.54,0.6
dM 5 XM 3 YM 20 ,10.0,1.0
dM 5 XM 6 YM 20 ,4.959999999999999,0.6
dM 5 XM 9 YM 20 ,4.473333333333334,0.5333333333333333
dM 5 XM 12 YM 20 ,5.08,0.5333333333333333
dM 5 XM 15 YM 20 ,4.873333333333333,0.5333333333333333
dM 5 XM 3 YM 25 ,10.0,1.0
dM 5 XM 6 YM 25 ,4.72,0.5333333333333333
dM 5 XM 9 YM 25 ,4.64,0.5333333333333333
dM 5 XM 12 YM 25 ,5.473333333333333,0.6
dM 5 XM 15 YM 25 ,4.786666666666666,0.5333333333333333
dM 10 XM 3 YM 5 ,10.0,1.0
dM 10 XM 6 YM 5 ,10.0,1.0
dM 10 XM 9 YM 5 ,10.0,1.0
dM 10 XM 12 YM 5 ,10.0,1.0
dM 10 XM 15 YM 5 ,10.0,1.0
dM 10 XM 3 YM 10 ,10.0,1.0
dM 10 XM 6 YM 10 ,1.1866666666666665,0.26666666666666666
dM 10 XM 9 YM 10 ,1.2133333333333334,0.26666666666666666
dM 10 XM 12 YM 10 ,1.1866666666666668,0.13333333333333333
dM 10 XM 15 YM 10 ,1.0266666666666666,0.06666666666666667
dM 10 XM 3 YM 15 ,10.0,1.0
dM 10 XM 6 YM 15 ,0.88,0.06666666666666667
dM 10 XM 9 YM 15 ,1.0266666666666666,0.2
dM 10 XM 12 YM 15 ,1.2,0.13333333333333333
dM 10 XM 15 YM 15 ,1.1066666666666667,0.13333333333333333
dM 10 XM 3 YM 20 ,10.0,1.0
dM 10 XM 6 YM 20 ,1.2466666666666666,0.26666666666666666
dM 10 XM 9 YM 20 ,1.1866666666666668,0.13333333333333333
dM 10 XM 12 YM 20 ,1.1,0.13333333333333333
dM 10 XM 15 YM 20 ,1.32,0.26666666666666666
dM 10 XM 3 YM 25 ,10.0,1.0
dM 10 XM 6 YM 25 ,1.0666666666666667,0.2
dM 10 XM 9 YM 25 ,1.12,0.2
dM 10 XM 12 YM 25 ,1.12,0.2
dM 10 XM 15 YM 25 ,1.1266666666666667,0.2
dM 15 XM 3 YM 5 ,10.0,1.0
dM 15 XM 6 YM 5 ,10.0,1.0
dM 15 XM 9 YM 5 ,10.0,1.0
dM 15 XM 12 YM 5 ,10.0,1.0
dM 15 XM 15 YM 5 ,10.0,1.0
dM 15 XM 3 YM 10 ,10.0,1.0
dM 15 XM 6 YM 10 ,0.28666666666666674,0.0
dM 15 XM 9 YM 10 ,0.19333333333333336,0.0
dM 15 XM 12 YM 10 ,0.24000000000000002,0.0
dM 15 XM 15 YM 10 ,0.28666666666666674,0.0
dM 15 XM 3 YM 15 ,10.0,1.0
dM 15 XM 6 YM 15 ,0.08666666666666667,0.0
dM 15 XM 9 YM 15 ,0.14666666666666667,0.0
dM 15 XM 12 YM 15 ,0.12666666666666665,0.0
dM 15 XM 15 YM 15 ,0.12666666666666665,0.0
dM 15 XM 3 YM 20 ,10.0,1.0
dM 15 XM 6 YM 20 ,0.07333333333333333,0.0
dM 15 XM 9 YM 20 ,0.06666666666666667,0.0
dM 15 XM 12 YM 20 ,0.06666666666666667,0.0
dM 15 XM 15 YM 20 ,0.07333333333333333,0.0
dM 15 XM 3 YM 25 ,10.0,1.0
dM 15 XM 6 YM 25 ,0.07333333333333333,0.0
dM 15 XM 9 YM 25 ,0.05333333333333334,0.0
dM 15 XM 12 YM 25 ,0.11999999999999998,0.0
dM 15 XM 15 YM 25 ,0.06666666666666667,0.0
dM 20 XM 3 YM 5 ,10.0,1.0
dM 20 XM 6 YM 5 ,10.0,1.0
dM 20 XM 9 YM 5 ,10.0,1.0
dM 20 XM 12 YM 5 ,10.0,1.0
dM 20 XM 15 YM 5 ,10.0,1.0
dM 20 XM 3 YM 10 ,10.0,1.0
dM 20 XM 6 YM 10 ,0.12666666666666668,0.0
dM 20 XM 9 YM 10 ,0.10666666666666666,0.0
dM 20 XM 12 YM 10 ,0.16666666666666666,0.0
dM 20 XM 15 YM 10 ,0.16,0.0
